category,Total_Revenue,Lost_Revenue,Champion_Revenue,Customers,Lost_Customers,Lost_Revenue_%,Lost_Customers_%,Risk
agro_industria_e_comercio,237461.22,91818.38,28607.24,181,14.0,0.38666684185316663,0.07734806629834254,Low
alimentos,92857.34,7927.1,8684.56,445,28.0,0.08536858798669013,0.06292134831460675,Low
alimentos_bebidas,54579.46,8292.66,7899.5,225,35.0,0.15193737717449018,0.15555555555555556,Low
artes,61985.86,5898.0,2620.66,202,10.0,0.09515073276389163,0.04950495049504951,Low
artes_e_artesanato,4652.34,146.14,1552.28,21,1.0,0.03141214958494005,0.047619047619047616,Low
artigos_de_festas,11932.62,717.56,2450.0,39,2.0,0.060134320878398866,0.05128205128205128,Low
artigos_de_natal,37989.54,3531.24,590.94,128,15.0,0.09295295494496643,0.1171875,Low
audio,120649.24,17000.18,20380.34,349,64.0,0.14090581921610115,0.1833810888252149,Low
automotivo,1704588.66,261317.54,213193.94,3852,472.0,0.1533024043466299,0.122533748701973,Low
bebes,1079691.32,149852.16,158520.44,2858,438.0,0.13879166871509163,0.15325402379286215,Low
bebidas,142859.3,2291.74,73806.98,292,13.0,0.016041937766739723,0.04452054794520548,Low
beleza_saude,3314746.24,427617.04,508831.9,8677,1133.0,0.12900445736684807,0.13057508355422381,Low
brinquedos,1238075.38,264777.86,128217.98,3844,846.0,0.21386247095875535,0.22008324661810613,Medium
cama_mesa_banho,3425107.34,502147.52,475049.54,9145,1475.0,0.14660781988806226,0.16129032258064516,Low
casa_conforto,168658.12,36058.82,14982.9,396,91.0,0.21379830392986712,0.2297979797979798,Medium
casa_conforto_2,3421.08,1388.4,0.0,23,6.0,0.4058367533059736,0.2608695652173913,Medium
casa_construcao,273290.58,34165.74,47765.58,489,36.0,0.12501616411366975,0.0736196319018405,Low
cds_dvds_musicais,2398.86,381.98,0.0,12,3.0,0.15923396946883103,0.25,Medium
cine_foto,19060.64,885.56,5818.72,65,3.0,0.04646013984839963,0.046153846153846156,Low
climatizacao,182341.32,28559.72,14745.78,251,43.0,0.15662780109302707,0.17131474103585656,Low
