category,payment_value
cama_mesa_banho,502147.52
moveis_decoracao,490610.1
informatica_acessorios,446222.12
esporte_lazer,443877.02
beleza_saude,427617.04
relogios_presentes,424648.12
ferramentas_jardim,380639.16
cool_stuff,334260.62
moveis_escritorio,274519.4
brinquedos,264777.86
automotivo,261317.54
utilidades_domesticas,248944.18
telefonia_fixa,238286.18
perfumaria,205608.88
bebes,149852.16
telefonia,148966.42
pcs,116607.38
pet_shop,101137.34
agro_industria_e_comercio,91818.38
papelaria,83769.7
consoles_games,81661.02
malas_acessorios,75364.8
fashion_bolsas_e_acessorios,74652.38
moveis_sala,67357.86
eletroportateis,62402.56
instrumentos_musicais,58668.78
eletronicos,56282.159999999996
casa_conforto,36058.82
casa_construcao,34165.74
market_place,30635.260000000002
climatizacao,28559.72
construcao_ferramentas_construcao,21396.74
eletrodomesticos,20501.82
livros_interesse_geral,20192.72
eletrodomesticos_2,19700.2
moveis_quarto,19260.36
audio,17000.18
construcao_ferramentas_jardim,12484.18
fashion_calcados,12130.68
industria_comercio_e_negocios,11885.12
moveis_cozinha_area_de_servico_jantar_e_jardim,11317.54
fashion_roupa_masculina,10375.7
alimentos_bebidas,8292.66
construcao_ferramentas_seguranca,8249.460000000001
alimentos,7927.1
artes,5898.0
tablets_impressao_imagem,5811.68
livros_tecnicos,5716.16
fashion_underwear_e_moda_praia,5704.66
sinalizacao_e_seguranca,4521.76
construcao_ferramentas_ferramentas,3542.8
artigos_de_natal,3531.24
fashion_esporte,3321.26
fashion_roupa_feminina,2523.02
construcao_ferramentas_iluminacao,2342.98
bebidas,2291.74
dvds_blu_ray,1953.6200000000001
musica,1501.0
casa_conforto_2,1388.4
livros_importados,1244.04
la_cuisine,920.7400000000001
cine_foto,885.56
artigos_de_festas,717.56
fashion_roupa_infanto_juvenil,701.0799999999999
moveis_colchao_e_estofado,510.64
flores,467.28
cds_dvds_musicais,381.98
pc_gamer,312.36
seguros_e_servicos,230.9
portateis_casa_forno_e_cafe,177.3
artes_e_artesanato,146.14
